  +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +2.5000000000000001E-02   +2.2062422564614886E-01   +7.7218478976152105E-01
  +5.0000000000000003E-02   +3.8940039153570244E-01   +5.8410058730355363E-01
  +7.5000000000000011E-02   +5.1546695909322915E-01   +4.2955579924435761E-01
  +1.0000000000000001E-01   +6.0653065971263342E-01   +3.0326532985631671E-01
  +1.2500000000000000E-01   +6.6907678564873785E-01   +2.0072303569462135E-01
  +1.5000000000000002E-01   +7.0854982911152209E-01   +1.1809163818525360E-01
  +1.7500000000000002E-01   +7.2950853443738972E-01   +5.2107752459813493E-02
  +2.0000000000000001E-01   +7.3575888234288467E-01   +0.0000000000000000E+00
  +2.2500000000000001E-01   +7.3046805155628691E-01   -4.0581558419793717E-02
  +2.5000000000000000E-01   +7.1626199215047526E-01   -7.1626199215047523E-02
  +2.7500000000000002E-01   +6.9530888846305272E-01   -9.4814848426779924E-02
  +3.0000000000000004E-01   +6.6939048044528948E-01   -1.1156508007421495E-01
  +3.2500000000000001E-01   +6.3996294441363066E-01   -1.2306979700262129E-01
  +3.5000000000000003E-01   +6.0820880207655792E-01   -1.3033045758783385E-01
  +3.7500000000000000E-01   +5.7508112566848180E-01   -1.3418559598931240E-01
  +4.0000000000000002E-01   +5.4134113294645081E-01   -1.3533528323661270E-01
  +4.2500000000000004E-01   +5.0759011513355834E-01   -1.3436208930005958E-01
  +4.5000000000000001E-01   +4.7429651052838950E-01   -1.3174903070233041E-01
  +4.7500000000000003E-01   +4.4181882375065157E-01   -1.2789492266466229E-01
  +5.0000000000000000E-01   +4.1042499311949399E-01   -1.2312749793584821E-01
  +5.2499999999999991E-01   +3.8030872442982028E-01   -1.1771460518065865E-01
  +5.5000000000000004E-01   +3.5160323663689164E-01   -1.1187375711173825E-01
  +5.7499999999999996E-01   +3.2439280214671978E-01   -1.0578026156958253E-01
  +5.9999999999999998E-01   +2.9872241020718365E-01   -9.9574136735727889E-02
  +6.2500000000000000E-01   +2.7460583514629638E-01   -9.3365983949740772E-02
  +6.4999999999999991E-01   +2.5203235090619314E-01   -8.7241967621374553E-02
  +6.7500000000000004E-01   +2.3097229860374571E-01   -8.1268030990206824E-02
  +6.9999999999999996E-01   +2.1138168395622950E-01   -7.5493458555796256E-02
  +7.2499999999999998E-01   +1.9320595568857726E-01   -6.9953880507933150E-02
  +7.5000000000000000E-01   +1.7638309392006832E-01   -6.4673801104025055E-02
  +7.7500000000000002E-01   +1.6084611852117300E-01   -5.9668721386886760E-02
  +8.0000000000000004E-01   +1.4652511110987343E-01   -5.4946916666202536E-02
  +8.2499999999999996E-01   +1.3334883035236847E-01   -5.0510920588018357E-02
  +8.4999999999999998E-01   +1.2124598822649367E-01   -4.6358760204247583E-02
  +8.7500000000000000E-01   +1.1014624462129749E-01   -4.2484980068214745E-02
  +9.0000000000000002E-01   +9.9980968844180756E-02   -3.8881487883848070E-02
  +9.2500000000000004E-01   +9.0683809081351902E-02   -3.5538249504854125E-02
  +9.4999999999999996E-01   +8.2191104429646028E-02   -3.2443857011702375E-02
  +9.7499999999999998E-01   +7.4442168633884628E-02   -2.9585990098082351E-02
  +1.0000000000000000E+00   +6.7379469990854673E-02   -2.6951787996341868E-02
